ANMOIS;CIE;CIE_NOM;;CIE_PAYS;CIE_PAX;CIE_FRP;CIE_PEQ
202402;SWR;SWISS;;SUISSE;45605;158,7;47192
202402;SWT;SWIFTAIR ESPAGNE;;ESPAGNE;6;1806,4;18070
202402;SXS;SUNEXPRESS;;TURQUIE;12449;0,3;12452
202402;SZN;AIR SENEGAL;;SENEGAL;13201;257,1;15772
202402;TAM;TAM/BRASIL;;BRESIL;14230;481,6;19046
202402;TAP;TAP AIR PORTUGAL;;PORTUGAL;104752;83,1;105583
202402;TAR;TUNISAIR;;TUNISIE;65464;189,2;67356
202402;THA;THAI AIRWAYS INTL;;THAILANDE;16003;652,1;22524
202402;THT;AIR TAHITI NUI;;FRANCE (OM);23560;730,7;30867
202402;THY;TURKISH AIRLINES;;TURQUIE;161511;2954,4;191055
202402;TOM;TUI AIRWAYS;;ROYAUME-UNI;34484;15,8;34642
202402;TPC;AIR CALEDONIE;;FRANCE (OM);30601;119,3;31794
202402;TSC;AIR TRANSAT;;CANADA;31098;80,1;31899
202402;TVF;TRANSAVIA FRANCE;;FRANCE;807024;15,5;807179
202402;UAE;EMIRATES;;EMIRATS ARABES UNIS;111862;3887,2;150734
202402;UAL;UNITED AIRLINES;;ETATS-UNIS;41175;1677,3;57948
202402;UPS;UPS AIRLINES;;ETATS-UNIS;0;2135,9;21359
202402;VLG;VUELING AIRLINES;;ESPAGNE;439892;0,6;439898
202402;VOE;VOLOTEA;;ESPAGNE;188054;0,1;188055
202402;VTA;AIR TAHITI;;FRANCE (OM);55277;159;56867
202402;VTI;VISTARA;;INDE;10416;419,8;14614
202402;WJA;WESTJET;;CANADA;9144;125,2;10396
202402;WMT;WIZZ AIR MALTA;;MALTE;114421;0;114421
202402;WUK;WIZZ AIR UK;;ROYAUME-UNI;13636;0;13636
202402;WZZ;WIZZ AIR;;HONGRIE;121805;0;121805
202402;ZZE; AUTRES CIE (E);;_ZZ_E;248320;4946,8;297788
202402;ZZF; AUTRES CIE (F);;_ZZ_F;46321;313,2;49453
202403;AAL;AMERICAN AIRLINES;;ETATS-UNIS;60724;2288,9;83613
202403;AAR;ASIANA AIRLINES;;COREE DU SUD;13047;489,6;17943
202403;ACA;AIR CANADA;;CANADA;77057;2119,2;98249
202403;ACI;AIRCALIN;;FRANCE (OM);28822;206,3;30885
202403;AEA;AIR EUROPA;;ESPAGNE;37398;31;37708
202403;AEE;AEGEAN AIRLINES;;GRECE;28610;63,6;29246
202403;AFR;AIR FRANCE;;FRANCE;3297390;32290,6;3620296
202403;AIC;AIR INDIA;;INDE;14103;602,6;20129
202403;AMC;AIR MALTA;;MALTE;20146;20,6;20352
202403;AMX;AEROMEXICO;;MEXIQUE;15039;447,6;19515
202403;ANE;AIR NOSTRUM;;ESPAGNE;65991;0;65991
202403;ASL;AIR SERBIA;;SERBIE;14607;17;14777
202403;AUA;AUSTRIAN AIRLINES;;AUTRICHE;53242;41,1;53653
202403;AZU;AZUL;;BRESIL;12303;284,3;15146
202403;BAW;BRITISH AIRWAYS;;ROYAUME-UNI;199669;127;200939
202403;BCS;EAT/EUROPEAN AIR TRANSP;;ALLEMAGNE;0;11270;112700
202403;BEL;BRUSSELS AIRLINES;;BELGIQUE;68689;7,5;68764
202403;BGA;AIRBUS TRANSPORT INTL;;FRANCE;0;2930,1;29301
202403;BTI;AIR BALTIC;;LETTONIE;18913;66,3;19576
202403;CCA;AIR CHINA INTL;;CHINE;32651;5393,1;86582
202403;CCM;AIR CORSICA;;FRANCE;154481;115,4;155635
202403;CES;CHINA EASTERN AIRLINES;;CHINE;29511;2615,3;55664
202403;CMA;CMA CGM AIR CARGO;;FRANCE;0;5775,3;57753
202403;CPA;CATHAY PACIFIC;;HONG KONG (CHINE);17186;1830,7;35493
202403;CRL;CORSAIR;;FRANCE;120625;2808,4;148709
202403;CSA;CSA CZECH AIRLINES;;TCHEQUIE;11075;15,3;11228
202403;CSN;CHINA SOUTHERN AIRLINES;;CHINE;12997;846,5;21462
202403;DAH;AIR ALGERIE;;ALGERIE;214291;1688,3;231174
202403;DAL;DELTA AIR LINES;;ETATS-UNIS;163462;1748,7;180949
202403;DHK;DHL AIR;;ROYAUME-UNI;0;1090,3;10903
202403;DLH;LUFTHANSA;;ALLEMAGNE;233187;594,1;239128
202403;EFW;BA EUROFLYER;;ROYAUME-UNI;14680;0;14680
202403;EIN;AER LINGUS;;IRLANDE;61400;74,7;62147
202403;EJU;EASYJET EUROPE;;AUTRICHE;1317434;0;1317434
202403;ELY;EL AL;;ISRAEL;40150;949,2;49642
202403;ETD;ETIHAD AIRWAYS;;EMIRATS ARABES UNIS;20236;1004,4;30280
202403;ETH;ETHIOPIAN AIRLINES;;ETHIOPIE;18789;1023,5;29024
202403;EVA;EVA AIR;;TAIWAN;19456;700,8;26464
202403;EWG;EUROWINGS;;ALLEMAGNE;23047;0;23047
202403;EXS;JET2.COM;;ROYAUME-UNI;36596;10,7;36703
202403;EZS;EASYJET SWITZERLAND;;SUISSE;347221;0;347221
202403;EZY;EASYJET UK;;ROYAUME-UNI;354855;0;354855
202403;FBU;FRENCH BEE;;FRANCE;62732;958,5;72317
202403;FDX;FEDEX EXPRESS;;ETATS-UNIS;0;49427,8;494278
202403;FIN;FINNAIR;;FINLANDE;25663;91,8;26581
202403;FPO;ASL AIRLINES FRANCE;;FRANCE;16097;1109,7;27194
202403;FPY;FLY PLAY;;ISLANDE;11056;27,4;11330
202403;FWI;AIR CARAIBES;;FRANCE (OM);173483;1092,3;184406
202403;GPX;GP AVIATION LTD.;;BULGARIE;15355;0;15355
